*Frequency 	VN-abs (dB)	VN-phase (deg)	VP-abs (dB)	VP-phase (deg)
3019951720.40202	-73.0516030544911	-671.418158452092	-72.820964935787	-490.46548153723
3311311214.82591	-78.5881298755341	-696.074978185946	-78.2354554779012	-513.739652948292
3630780547.70101	-84.1128282081545	-719.667401068188	-83.6036588082088	-535.407997130238
3981071705.53497	-89.6291625602223	-741.786221116485	-88.917533241286	-554.893682003716
4365158322.40166	-95.1531080316188	-762.120651207796	-94.1787587196984	-571.674687114481
4786300923.22638	-100.695034251848	-780.522117590849	-99.3812666205143	-585.339830437426
5248074602.49773	-106.241614832203	-797.035054025621	-104.495853778951	-595.61434816504
5754399373.37158	-111.740221527003	-811.923035701874	-109.461587083729	-602.390477631757
6309573444.80194	-117.085942100782	-825.701849278745	-114.187207463575	-605.794755504535
6918309709.18935	-122.115340934265	-839.118418828427	-118.567316730253	-606.279890183244
7585775750.29184	-126.621575946782	-852.919126461683	-122.515166386262	-604.657709191053
8317637711.02671	-130.416248042973	-867.346721192125	-125.998749784153	-601.967683103561
9120108393.55909	-133.437354584943	-881.814020002719	-129.053989363173	-599.201345419389
10000000000	-135.809298722093	-895.35401687233	-131.764737134734	-597.063889001327
 
